Cultivar,Block,Plant,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits,Weight of fruit (g),Disease development time (days) (growing phase),Youngest leaf spotted (growing phase),Leaf emission rate (new leaves/week) (growing phase),Number of functional leaves (shooting),Number of functional leaves (harvest),Infection index at 6 months after planting,Infection index at shooting,Infection index at harvest
BITA2,E,381,8/13/2002,9/24/2003,1/24/2004,375,75,240,15.2,9,130,115.9,126,15,0.25,15,7,0,10.6060606060606,40.4761904761905
BITA2,E,382,8/13/2002,7/10/2003,11/27/2003,342,75,195,14,8,114,105.3,105,9,NA,15,10,1.66666666666667,8.33333333333333,25
BITA2,E,383,8/13/2002,9/29/2003,1/1/2004,341,69,76,13.6,8,126,90.5,119,13.25,0.176470588235294,14,4,1.85185185185185,12.1212121212121,37.5
BITA2,E,384,8/13/2002,9/9/2003,1/6/2004,244,70,249,16.4,9,144,97.9,NA,NA,NA,13,7,4.54545454545455,13.3333333333333,35.7142857142857
BITA2,E,385,8/13/2002,8/27/2003,1/6/2004,281,91,120,15.2,9,151,86,70,13,0.333333333333333,16,6,3.33333333333333,10.7142857142857,33.3333333333333
SH3640,E,386,8/13/2002,5/18/2003,8/27/2003,230,52,148,16.4,8,111,99,80.870523415978,9.02015151515151,0.307692307692308,17,6,18.0555555555556,18.0555555555556,36.1111111111111
SH3640,E,387,8/13/2002,5/11/2003,8/22/2003,214,49,155,16.6,8,93,159,94.5,9.75,0.538461538461538,17,9,10.6060606060606,21.2121212121212,33.3333333333333
SH3640,E,388,8/13/2002,6/15/2003,9/16/2003,247,52,160,16.4,8,93,159.1,84.5,8,NA,13,4,15.1515151515152,26.3888888888889,37.5
SH3640,E,389,8/13/2002,5/25/2003,8/27/2003,233,53,126,17.2,8,93,165,86,9.33333333333333,0.488372093023256,16,5,15.1515151515152,30.952380952381,37.5
SH3640,E,390,8/13/2002,6/22/2003,9/18/2003,329,50,142,13.3,7,71,163.3,105,9.5,0.666666666666667,15,6,10,36.9047619047619,40
PisangJariBuaya,E,391,8/13/2002,7/15/2003,9/30/2003,228,35,95,9.6,7,90,93.3,88,8.4,0.652173913043478,12,6,13.3333333333333,31.9444444444444,69.4444444444444
PisangJariBuaya,E,392,8/13/2002,11/5/2003,NA,235,33,85,NA,NA,NA,NA,72,8.125,NA,NA,NA,0,31.6666666666667,75
PisangJariBuaya,E,393,8/13/2002,8/12/2003,10/22/2003,232,32,105,6.8,7,100,60,70.5454545454545,9,0.567567567567568,11,1,15.1515151515152,34.7222222222222,83.3333333333333
PisangJariBuaya,E,394,8/13/2002,8/5/2003,11/10/2003,236,35,86,6.4,7,103,52.4,75,11,0.578947368421053,12,5,11.1111111111111,31.9444444444444,77.7777777777778
PisangJariBuaya,E,395,8/13/2002,7/27/2003,11/10/2003,225,31,40,4,4,52,65.4,72.3333333333333,8,0.8,12,4,15.1515151515152,37.8787878787879,75
YangambiKm5,E,396,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.35,NA,NA,0,NA,NA
YangambiKm5,E,397,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.533333333333333,NA,NA,0,NA,NA
YangambiKm5,E,398,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.157894736842105,NA,NA,0,NA,NA
YangambiKm5,E,399,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,NA,NA,0,NA,NA
YangambiKm5,E,400,8/13/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5625,NA,NA,0,NA,NA
