Cultivar,Block,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in bunch,Weight of fruit (g),Number of functional leaves (shooting),Number of functional leaves (harvest),Disease development time (days),Average youngest leaf spotted (between weeks 17 to 21),Data for YLS are averaged per replication (per block)
Cachaco,C,7,CachacoC7,ratoon,NA,NA,NA,477,79,NA,12.06363636,5.5,NA,2,5,3,NA,NA,
Cachaco,C,8,CachacoC8,ratoon,NA,NA,NA,477,79,NA,12.06363636,5.5,NA,2,5,3,NA,NA,
Cachaco,C,9,CachacoC9,ratoon,NA,NA,NA,477,79,NA,12.06363636,5.5,NA,2,5,3,NA,NA,
Cachaco,C,10,CachacoC10,ratoon,NA,NA,NA,477,79,NA,12.06363636,5.5,NA,2,5,3,NA,NA,
Cachaco,D,1,CachacoD1,ratoon,NA,NA,NA,NA,NA,NA,9.534615385,6.5,NA,1.23,NA,4.5,NA,NA,
Cachaco,D,2,CachacoD2,ratoon,NA,NA,NA,NA,NA,NA,9.534615385,6.5,NA,1.23,NA,4.5,NA,NA,
Cachaco,D,3,CachacoD3,ratoon,NA,NA,NA,NA,NA,NA,9.534615385,6.5,NA,1.23,NA,4.5,NA,NA,
Cachaco,D,4,CachacoD4,ratoon,NA,NA,NA,NA,NA,NA,9.534615385,6.5,NA,1.23,NA,4.5,NA,NA,
Cachaco,D,5,CachacoD5,ratoon,NA,NA,NA,NA,NA,NA,9.534615385,6.5,NA,1.23,NA,4.5,NA,NA,
Cachaco,D,6,CachacoD6,ratoon,NA,NA,NA,NA,NA,NA,9.534615385,6.5,NA,1.23,NA,4.5,NA,NA,
Cachaco,D,7,CachacoD7,ratoon,NA,NA,NA,NA,NA,NA,9.534615385,6.5,NA,1.23,NA,4.5,NA,NA,
Cachaco,D,8,CachacoD8,ratoon,NA,NA,NA,NA,NA,NA,9.534615385,6.5,NA,1.23,NA,4.5,NA,NA,
Cachaco,D,9,CachacoD9,ratoon,NA,NA,NA,NA,NA,NA,9.534615385,6.5,NA,1.23,NA,4.5,NA,NA,
Cachaco,D,10,CachacoD10,ratoon,NA,NA,NA,NA,NA,NA,9.534615385,6.5,NA,1.23,NA,4.5,NA,NA,
GrosMichel,A,1,GrosMichelA1,ratoon,NA,NA,NA,590,120,NA,28.3,10,NA,2.71,7,4,NA,NA,
GrosMichel,A,2,GrosMichelA2,ratoon,NA,NA,NA,590,120,NA,28.3,10,NA,2.71,7,4,NA,NA,
GrosMichel,A,3,GrosMichelA3,ratoon,NA,NA,NA,590,120,NA,28.3,10,NA,2.71,7,4,NA,NA,
GrosMichel,A,4,GrosMichelA4,ratoon,NA,NA,NA,590,120,NA,28.3,10,NA,2.71,7,4,NA,NA,
GrosMichel,A,5,GrosMichelA5,ratoon,NA,NA,NA,590,120,NA,28.3,10,NA,2.71,7,4,NA,NA,
GrosMichel,A,6,GrosMichelA6,ratoon,NA,NA,NA,590,120,NA,28.3,10,NA,2.71,7,4,NA,NA,
GrosMichel,A,7,GrosMichelA7,ratoon,NA,NA,NA,590,120,NA,28.3,10,NA,2.71,7,4,NA,NA,
GrosMichel,A,8,GrosMichelA8,ratoon,NA,NA,NA,590,120,NA,28.3,10,NA,2.71,7,4,NA,NA,
GrosMichel,A,9,GrosMichelA9,ratoon,NA,NA,NA,590,120,NA,28.3,10,NA,2.71,7,4,NA,NA,
GrosMichel,A,10,GrosMichelA10,ratoon,NA,NA,NA,590,120,NA,28.3,10,NA,2.71,7,4,NA,NA,
GrosMichel,B,1,GrosMichelB1,ratoon,NA,NA,NA,588,115,NA,NA,NA,NA,NA,8.5,NA,NA,NA,
GrosMichel,B,2,GrosMichelB2,ratoon,NA,NA,NA,588,115,NA,NA,NA,NA,NA,8.5,NA,NA,NA,
GrosMichel,B,3,GrosMichelB3,ratoon,NA,NA,NA,588,115,NA,NA,NA,NA,NA,8.5,NA,NA,NA,
GrosMichel,B,4,GrosMichelB4,ratoon,NA,NA,NA,588,115,NA,NA,NA,NA,NA,8.5,NA,NA,NA,
GrosMichel,B,5,GrosMichelB5,ratoon,NA,NA,NA,588,115,NA,NA,NA,NA,NA,8.5,NA,NA,NA,
GrosMichel,B,6,GrosMichelB6,ratoon,NA,NA,NA,588,115,NA,NA,NA,NA,NA,8.5,NA,NA,NA,
