Cultivar,Block,Plant,Date planted,Date shooting,Date harvest,Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Height of following sucker (cm) (shooting),Bunch weight (kg),Number of hands,Number of fruits in bunch,Weight of fruit (g),Weight of fruit (g),Weight of fruit (g),Average weight of fruit (g),Fruit length (cm),Fruit length (cm),Average fruit length (cm),Fruit diameter (cm),Fruit diameter (cm),Average fruit diameter (cm),Number of functional leaves (shooting),Number of functional leaves (harvest),Distance of vascular discolouration in the pseudostem (cm) (harvest),Distance of vascular discolouration in the pseudostem of the following sucker (cm) (harvest of the mother plant),"Scale of vascular discolouration in the corm of the following sucker, slice 1","Scale of vascular discolouration in the corm of the following sucker, slice 2","Scale of vascular discolouration in the corm of the following sucker, slice 3","Scale of vascular discolouration in the corm of the following sucker, slice 4","Scale of vascular discolouration in the corm of the following sucker, slice 5"
Williams,18,343,8/22/2002,5/30/2003,8/28/2003,168,45,93,14.3,9,141,90.8,96.1,79.7,88.8666666666667,17.7,15.2,16.45,10.9,10.2,10.55,12,3,0,0,1,1,1,1,1
Williams,19,352,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.10,NA,NA,NA,NA,115,NA,1,1,1,1,1
Williams,20,386,8/22/2002,4/30/2003,8/6/2003,137,39,130,9,7,105,76.2,104.2,94,91.4666666666667,16.5,15.7,16.1,10.11,11.7,11.7,12,4,0,0,1,1,1,1,1
BluggoeCachaco,1,1,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.12,NA,NA,NA,NA,NA,NA,1,1,1,1,1
BluggoeCachaco,2,5,8/22/2002,9/12/2003,11/28/2003,340,48.3,160,11.7,5,58,184.5,195.7,168.8,183,17.2,15.9,16.55,10.13,15.3,15.5,11,6,0,0,1,1,1,1,1
BluggoeCachaco,3,32,8/22/2002,1/5/2005,NA,289,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.14,NA,NA,7,NA,0,0,1,1,1,1,1
BluggoeCachaco,4,143,8/22/2002,7/24/2003,10/30/2003,348,49.5,160,8.4,5,41,190.2,186.4,141.6,172.733333333333,16.5,13.9,15.2,10.15,15,15.55,16,7,0,0,1,1,1,1,1
BluggoeCachaco,5,187,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.16,NA,NA,NA,NA,NA,NA,1,1,1,1,1
BluggoeCachaco,6,203,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.17,NA,NA,NA,NA,NA,NA,1,1,1,1,1
BluggoeCachaco,7,213,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.18,NA,NA,NA,NA,NA,NA,1,1,1,1,1
BluggoeCachaco,8,224,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.19,NA,NA,NA,NA,NA,NA,1,1,1,1,1
BluggoeCachaco,9,233,8/22/2002,9/24/2003,11/28/2003,323,50,127,10,5,57,157.9,169.7,137.9,155.166666666667,16.4,15.3,15.85,10.20,14.3,14.65,9,3,0,0,1,1,1,1,1
BluggoeCachaco,10,244,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.21,NA,NA,NA,NA,NA,NA,1,1,1,1,1
BluggoeCachaco,11,250,8/22/2002,6/25/2003,9/10/2003,295,46,130,8.6,4,43,158.1,173.4,166,165.833333333333,12.3,15.9,14.1,10.22,15,15.1,12,5,0,0,1,1,1,1,1
BluggoeCachaco,12,265,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.23,NA,NA,NA,NA,NA,NA,1,1,1,1,1
BluggoeCachaco,13,266,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.24,NA,NA,NA,NA,NA,NA,1,1,1,1,1
BluggoeCachaco,14,286,8/22/2002,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,10.25,NA,NA,NA,NA,0,NA,1,1,1,1,1
