Cultivar,Plant,Mat ID,Plant cycle,Date planted,Date shooting,Crop cycle (days),Pseudostem height (cm) (shooting),Pseudostem girth at 1m (cm) (shooting),Bunch weight (kg),Number of fruits in hand,Weight of fruit (g),Number of functional leaves (shooting)
WilliamsBell,10,WilliamsBell10,mother,17/08/2002,NA,NA,NA,NA,NA,NA,NA,NA
TieuLun,1,TieuLun1,mother,17/08/2002,11/9/2003,NA,171,57.5,12.7,16,77.5,10
TieuLun,2,TieuLun2,mother,17/08/2002,6/9/2003,NA,175,60,12.6,16,78.5,10
TieuLun,3,TieuLun3,mother,17/08/2002,25/09/2003,NA,167.5,62,13.8,18,78.5,9
TieuLun,4,TieuLun4,mother,17/08/2002,19/09/2003,NA,169,56,15,18,79,9
TieuLun,5,TieuLun5,mother,17/08/2002,21/09/2003,NA,171,57.5,14.4,19,79,10
TieuLun,6,TieuLun6,mother,17/08/2002,16/09/2003,NA,167.5,59,12.1,19,77.5,9
TieuLun,7,TieuLun7,mother,17/08/2002,16/09/2003,NA,171,59,13.3,16,77.5,10
TieuLun,8,TieuLun8,mother,17/08/2002,13/09/2003,NA,172,60.5,14.2,17,78,10
TieuLun,9,TieuLun9,mother,17/08/2002,17/09/2003,NA,171,58.5,12,19,78,9
TieuLun,10,TieuLun10,mother,17/08/2002,12/9/2003,NA,162,58.5,13.1,19,78.5,9
