Cultivar,Plant,Mat ID,Plant cycle,Time period,Infection index
YangambiKm5,1,YangambiKm51,mother,sh,NA
YangambiKm5,2,YangambiKm52,mother,sh,NA
YangambiKm5,3,YangambiKm53,mother,sh,NA
YangambiKm5,4,YangambiKm54,mother,sh,NA
YangambiKm5,5,YangambiKm55,mother,sh,NA
YangambiKm5,6,YangambiKm56,mother,sh,NA
YangambiKm5,7,YangambiKm57,mother,sh,NA
YangambiKm5,8,YangambiKm58,mother,sh,NA
YangambiKm5,9,YangambiKm59,mother,sh,NA
YangambiKm5,10,YangambiKm510,mother,sh,NA
PITA16,1,PITA161,mother,sh,NA
PITA16,2,PITA162,mother,sh,NA
PITA16,3,PITA163,mother,sh,NA
PITA16,4,PITA164,mother,sh,NA
PITA16,5,PITA165,mother,sh,NA
PITA16,6,PITA166,mother,sh,NA
PITA16,7,PITA167,mother,sh,NA
PITA16,8,PITA168,mother,sh,NA
PITA16,9,PITA169,mother,sh,NA
PITA16,10,PITA1610,mother,sh,NA
TMBx91283,1,TMBx912831,mother,sh,NA
TMBx91283,2,TMBx912832,mother,sh,NA
TMBx91283,3,TMBx912833,mother,sh,NA
TMBx91283,4,TMBx912834,mother,sh,NA
TMBx91283,5,TMBx912835,mother,sh,NA
TMBx91283,6,TMBx912836,mother,sh,NA
TMBx91283,7,TMBx912837,mother,sh,NA
TMBx91283,8,TMBx912838,mother,sh,NA
TMBx91283,9,TMBx912839,mother,sh,NA
TMBx91283,10,TMBx9128310,mother,sh,NA
PisangLemakManis,1,PisangLemakManis1,mother,sh,NA
PisangLemakManis,2,PisangLemakManis2,mother,sh,NA
PisangLemakManis,3,PisangLemakManis3,mother,sh,NA
PisangLemakManis,4,PisangLemakManis4,mother,sh,NA
PisangLemakManis,5,PisangLemakManis5,mother,sh,NA
PisangLemakManis,6,PisangLemakManis6,mother,sh,NA
PisangLemakManis,7,PisangLemakManis7,mother,sh,NA
PisangLemakManis,8,PisangLemakManis8,mother,sh,NA
PisangLemakManis,9,PisangLemakManis9,mother,sh,NA
PisangLemakManis,10,PisangLemakManis10,mother,sh,NA
Foconah,1,Foconah1,mother,sh,NA
Foconah,2,Foconah2,mother,sh,NA
Foconah,3,Foconah3,mother,sh,NA
Foconah,4,Foconah4,mother,sh,NA
Foconah,5,Foconah5,mother,sh,NA
Foconah,6,Foconah6,mother,sh,NA
Foconah,7,Foconah7,mother,sh,NA
Foconah,8,Foconah8,mother,sh,NA
Foconah,9,Foconah9,mother,sh,NA
Foconah,10,Foconah10,mother,sh,NA
Selangor,1,Selangor1,mother,sh,NA
Selangor,2,Selangor2,mother,sh,NA
Selangor,3,Selangor3,mother,sh,NA
Selangor,4,Selangor4,mother,sh,NA
Selangor,5,Selangor5,mother,sh,NA
Selangor,6,Selangor6,mother,sh,NA
Selangor,7,Selangor7,mother,sh,NA
Selangor,8,Selangor8,mother,sh,NA
Selangor,9,Selangor9,mother,sh,NA
Selangor,10,Selangor10,mother,sh,NA
PisangCeylan,1,PisangCeylan1,mother,sh,NA
PisangCeylan,2,PisangCeylan2,mother,sh,NA
PisangCeylan,3,PisangCeylan3,mother,sh,NA
PisangCeylan,4,PisangCeylan4,mother,sh,NA
