Number_K,Number_H,Country_ID,Envnt,Env_ID,plot_name.y,accession_name.y,plot_number.y,plot_id,block_number,is_a_control,rep_number,row_number,col_number,Number_G,location_name.y,which_cycle.y,Block_ID.y,Plot_ID.y,New_Genotype,Genotype_ID.y,New_Geno,Geno_ID,Number_of_functional_leaves_count_at_harvesting_COMP_0000296_mean,harvest_sucker_functional_leaves.CO_325.0000676_mean,Tallest_sucker_height_in_cm_at_harvesting_COMP.0000306_mean,Rank_of_oldest_standing_leaf_count_at_harvesting_COMP.0000310_mean,harvest_leafspot_number_standing_leaves.CO_325.0000759_mean,Black_Sigatoka_disease_infection_index_at_harvesting_COMP.0000281_mean,Youngest_leaf_spotted_rank_at_harvesting_COMP.0000307_mean,Index_of_non_spotted_leaves_calculation_at_harvesting_COMP.0000294_mean,harvest_youngest_leaf_with_BLS_symptoms_mean,harvest_fusarium_rating_external.CO_325.0000750_mean,Bunch_weight_in_kg_at_harvesting_COMP.0000282_mean,Number_of_hands_in_bunch_count_at_harvesting_COMP.0000297_mean,Multiple_hand_weight_in_kg_at_harvesting_COMP.0000308_mean,Average_hand_weight_in_kg_at_harvesting_COMP.0000279_mean,harvest_rachis_weight.CO_325.0000670_mean,harvest_number_fingers_bunch.CO_325.0000717_mean,Average_number_of_fingers_in_hand_calculation_at_harvesting_COMP.0000309_mean,Days_planting_to_shooting_mean,Days_planting_to_harvest_mean,Days_shooting_harvest_mean,harvest_average_finger_weight.CO_325.0000335_mean,Average_finger_external_length_in_cm_CO_325.0000338_mean,harvest_average_finger_circumf.CO_325.0000345_mean,harvest_average_finger_diameter.CO_325.0000349_mean,Average_fruit_pulp_lateral_diameter_in_cm_CO_325.0000353_mean,Average_finger_peel_thickness_in_mm_CO_325.0000356_mean,Previous_Cycle_Days_planting_to_harvest_mean,Cycle_Length,Days_Year,Annual_Crop_Cycle_Proportion,Plants_per_Ha,Bunch_Yield_t_per_Ha_per_Yr,MHW_Yield_tons_per_Ha_per_Yr,REMOVE_FROM_ANALYSIS_BWT_0,Dup_Plot_Remove,Data_Del
1655,87,Tanzania,Ta_fp,10,2016_TaCRI_82,Cachaco,82,129142,4,1,1,5,10,77,TaCRI,firstplant,4,82,Cachaco      ,32,Cachaco      ,32,3.75,7.75,324,3,3,0,0,0,0,1,37.85,6.25,35.425,5.567678572,2.425,80,12,.,647.75,.,400.1,17,14.91666667,3.825,2.883333334,2,0,647.75,365,0.563489,1111,23.69547318,22.1773352,No,,
1656,88,Tanzania,Ta_fp,10,2016_TaCRI_83,NARITA 6,83,129145,4,NA,1,5,11,78,TaCRI,firstplant,4,83,NARITA_06    ,6,NARITA_06    ,6,0,10,276,0,0,0,0,0,0,1,23.4,7,26.6,3.8,-3.2,87,12,.,636,.,300,16.16666667,12.66666667,3.416666667,2.433333333,2,0,636,365,0.573899371,1111,14.91989151,16.96021855,No,,
1658,90,Tanzania,Ta_fp,10,2016_TaCRI_84,NARITA 22,84,129094,4,NA,1,5,12,79,TaCRI,firstplant,4,84,NARITA_22    ,22,NARITA_22    ,22,1.333333333,9.666666667,330.3333333,1.333333333,1.333333333,0,0,-83.33333333,0,1,26.66666667,6.666666667,24.73333333,3.698412699,1.933333333,92,13.66666667,.,545,.,0.3,17.53888889,11.83333333,3.05,2.055555556,2,0,545,365,0.669724771,1111,19.84171254,18.40318838,No,,
1659,91,Tanzania,Ta_fp,10,2016_TaCRI_85,NARITA 11,85,129162,4,NA,1,5,13,81,TaCRI,firstplant,4,85,NARITA_11    ,11,NARITA_11    ,11,8.222222222,9.555555556,329.1111111,5.555555556,5.555555556,0,0,-20.05291005,0,1,52.93333333,8.111111111,48.86666667,6.044223986,4.066666667,144.6666667,17.33333333,.,540.8888889,.,0.398148148,19.12037037,11.87037037,3.105555556,2.224074074,2,0,540.8888889,365,0.674815119,1111,39.68515735,36.63629766,No,,
1660,92,Tanzania,Ta_fp,10,2016_TaCRI_86,Williams,86,129129,4,1,1,5,14,82,TaCRI,firstplant,4,86,Williams     ,34,Williams     ,34,7.222222222,9.111111111,204.5555556,7.111111111,7.111111111,0,0.111111111,-13.42592593,0,1,56.7,9.555555556,51.85555556,5.425289402,4.844444444,146.5555556,14.77777778,.,605.7777778,.,89.17962963,19.7962963,12.5962963,3.175925926,2.324074074,2,0,605.7777778,365,0.602531181,1111,37.95566847,34.71273854,No,,
1661,93,Tanzania,Ta_fp,10,2016_TaCRI_87,NARITA 26,87,129110,4,NA,1,5,15,83,TaCRI,firstplant,4,87,NARITA_26    ,26,NARITA_26    ,26,2.333333333,8.666666667,379.4444444,1.555555556,1.555555556,0,0,-62.96296296,0,1,31.22222222,7.111111111,29.8,4.074153439,1.422222222,88.22222222,11.44444444,.,584,.,33.65925926,16.88888889,12.38888889,3.337037037,2.381481482,1.888888889,0,584,365,0.625,1111,21.67993055,20.692375,No,,
1662,94,Tanzania,Ta_fp,10,2016_TaCRI_88,NARITA 18,88,129140,4,NA,1,5,16,84,TaCRI,firstplant,4,88,NARITA_18    ,18,NARITA_18    ,18,7.666666667,5.333333333,147.1666667,6.333333333,6.333333333,0,0,-9.649470185,0,1,81.38333333,9.5,75.83333333,8.043367004,5.55,182.8333333,18.83333333,.,606.3333333,.,166.95,18.23611111,14.08333333,3.630555555,2.727777778,2,0,606.3333333,365,0.601979109,1111,54.4290749,50.71724162,No,,
1663,95,Tanzania,Ta_fp,10,2016_TaCRI_89,NARITA 15,89,129102,4,NA,1,6,9,85,TaCRI,firstplant,4,89,NARITA_15    ,15,NARITA_15    ,15,3.9,8.8,258.9,3.6,3.6,0,0,-28.33333333,0,1,18.76,5.9,16.72,2.822761905,2.04,66.5,10.9,.,558.4,.,0.228333333,14.345,11.33833333,3.225,2.333333333,1.966666667,0,558.4,365,0.653653295,1111,13.62367729,12.14221132,No,,
1664,97,Tanzania,Ta_fp,10,2016_TaCRI_90,Ndizi Uganda,90,129082,4,1,1,6,10,86,TaCRI,firstplant,4,90,Ndizi_Uganda ,30,Ndizi_Uganda ,30,2.555555556,7.555555556,345.3333333,2.222222222,2.222222222,0,0,-53.7037037,0,1,30.41111111,5.888888889,28.96666667,4.934444444,1.444444444,70,11.44444444,.,522,.,0.40037037,17.5462963,13.63518519,3.616666667,2.653703704,2.740740741,0,522,365,0.699233716,1111,23.62483088,22.50271616,No,,
1665,98,Tanzania,Ta_fp,10,2016_TaCRI_91,NARITA 27,91,129107,4,NA,1,6,11,87,TaCRI,firstplant,4,91,NARITA_27    ,27,NARITA_27    ,27,2,8.5,299.75,1.25,1.25,0,0,-25,0,1,42.7125,6.875,37.6875,5.446458333,5.025,113.875,15.75,.,595.125,.,150.1854167,18.32291667,12.01041667,3.560416667,2.25625,1.791666667,0,595.125,365,0.61331653,1111,29.10406963,25.68006144,No,,
