"id","MLDS","MLWS","R10mm","R20mm","Rx1day","Rx5day","R95p","R99p","Rtotal","SDII","maxDT","minDT","maxNT","minNT","DTR","SU","TR","CFD","WSDI","CSDI","T10p","T90p","rhum_06","rhum_09","rhum_12","rhum_15","rhum_18"
"imtp_16177_mother_A",28,100,14,7,56.6300010681152,102.069999933243,338.919998168945,127.030000686646,1139.04999911785,5.51612149093683,32.8635498046875,26.3307434082031,25.9512268066406,22.4239135742188,5,111,45,0,8,15,23.7148376464844,31.1767791748047,86.9193936364125,75.9202584304379,70.1147309750487,68.8446484474139,75.5802784073824
"imtp_16177_mother_B",28,100,14,7,56.6300010681152,102.069999933243,338.919998168945,127.030000686646,1129.70999896526,5.52410376843346,32.8635498046875,26.3307434082031,25.9512268066406,22.4239135742188,5,111,44,0,8,15,23.7131896972656,31.1800567626953,86.9118337197737,75.8892522508448,70.0678654042157,68.8142029263756,75.5590835267847
"imtp_16177_mother_C",28,100,24,7,56.6300010681152,102.069999933243,381.239995956421,127.030000686646,1410.3099976778,5.65381322028514,32.8635498046875,26.3307434082031,25.9512268066406,22.4239135742188,4,111,47,0,8,15,23.7570495605469,31.0119140625,87.2565322723006,76.5407892671743,71.0540640025509,69.9651743284144,76.4229486986509
"imtp_16178_mother_A",6,29,41,27,39.689998626709,140.129999160767,431.229997634888,116.169998168945,1839.63999354839,9.94622336975992,24.8074279785156,20.501611328125,18.3796630859375,15.3887573242188,5,0,0,0,8,7,16.7565734863281,23.6715698242188,93.7846729263721,86.7115898280756,81.9304144298984,82.3193014122633,89.1726282616998
"imtp_16178_mother_B",6,30,41,27,39.689998626709,140.129999160767,431.229997634888,116.169998168945,1841.84999358654,9.90529097117996,24.8074279785156,20.501611328125,18.3796630859375,15.3887573242188,5,0,0,0,8,7,16.7572326660156,23.6715148925781,93.7829274613728,86.7192623227142,81.9608004666114,82.3340644836426,89.1785761219587
"imtp_16178_mother_C",6,31,41,27,39.689998626709,140.129999160767,431.229997634888,116.169998168945,1845.95999372005,9.87478944045541,24.8074279785156,20.501611328125,18.3796630859375,15.3887573242188,5,0,0,0,8,7,16.7578918457031,23.6714599609375,93.7741752241569,86.7164876046788,81.9753605021473,82.3553364875234,89.1843040201195
"imtp_16178_mother_D",6,31,41,27,39.689998626709,140.129999160767,431.229997634888,116.169998168945,1845.95999372005,9.87478944045541,24.8074279785156,20.501611328125,18.3796630859375,15.3887573242188,5,0,0,0,8,7,16.7578918457031,23.6714599609375,93.7741752241569,86.7164876046788,81.9753605021473,82.3553364875234,89.1843040201195
"imtp_16181_mother",15,22,51,19,122.650001525879,180.590002298355,663.39999961853,258.280002593994,2039.55999743938,8.97176723045714,37.0214172363281,8.96380004882815,27.5965209960938,5.35164794921877,6,179,91,0,6,23,13.3694091796875,32.8201629638672,88.1862754630084,73.9337194720704,69.1558118369711,70.206522965551,80.5275104561044
"imtp_16181_ratoon",24,21,20,18,185.869995117188,275.459994316101,705.059997558594,302.829998016357,1438.81999766827,8.95060239487653,36.0191284179688,11.6086059570313,27.9148193359375,5.58965454101565,6,137,71,0,8,11,12.7051147460938,32.6013702392578,85.4214950479487,70.3018643676594,65.6758659116684,66.5814145918815,77.5027193561677
"3191",7,38,42,35,166.889999389648,279.279999732971,765.949996948242,296.229999542236,2456.89999485016,11.5679069533598,30.6046081542969,25.7812744140625,24.046044921875,21.0242553710938,5,10,0,0,3,6,21.695849609375,29.3795166015625,91.8671475988235,82.4648010086839,71.3390098070576,72.980135117134,86.5374784817661
